Ano,Fractal Dimension
2026,28
2025,2072
2024,3047
2023,2687
2022,2736
2021,2619
2020,2377
2019,2244
2018,1929
2017,1785
2016,1654
2015,1616
2014,1532
2013,1636
2012,1568
2011,1520
2010,1501
2009,1408
2008,1396
2007,1321
2006,1245
2005,1166
2004,994
2003,957
2002,937
2001,963
2000,826
1999,906
1998,855
1997,827
1996,882
1995,716
1994,662
1993,650
1992,598
1991,499
1990,419
1989,384
1988,310
1987,287
1986,229
1985,183
1984,162
1983,67
1982,22
1981,15
1980,6
1979,3
1978,4
1975,4
