Ano,Lacunarity
2024,91
2023,71
2022,90
2021,58
2020,79
2019,91
2018,71
2017,64
2016,79
2015,64
2014,52
2013,54
2012,46
2011,40
2010,35
2009,46
2008,26
2007,34
2006,34
2005,32
2004,25
2003,21
2002,22
2001,25
2000,10
1999,13
1998,16
1997,17
1996,11
1995,15
1994,14
1993,10
1992,2
1991,9
1990,1
1989,1
1988,2
1987,4
1986,2
1984,2
1983,1
1982,1
1981,1
1979,1
1978,3
1972,3
1971,1
1956,2
